Const,male,age,I(age^2),vaccine08,True.Const,True.male,True.age,True.I(age^2),True.vaccine08,HTE.cover1,HTE.cover2,HTE.truecover
-0.058626655,0.082288655,0.022646655,-0.000343895,0.192382659,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.168616488,-0.008919504,0.005236841,-0.000102086,0.128651979,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.077095034,0.074750873,0.006765234,-9.97E-05,0.213568931,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.053810323,0.007636861,0.013483643,-0.000199491,0.167446759,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.041351407,0.019255031,0.00929134,-0.000147244,0.163932427,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.03123297,0.024637384,0.010083248,-0.000150958,0.226643701,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.062895162,0.042453167,0.011786114,-0.000173125,0.012746478,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
-0.031748199,0.08634198,0.015068164,-0.000224022,0.15099517,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
-0.020217035,0.022646527,0.018061686,-0.000248356,0.159329149,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
-0.010618075,0.086633281,0.019176073,-0.000273768,0.170875095,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.095488766,0.059540367,0.007592171,-7.60E-05,0.112131722,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.050558248,0.021046721,0.010991343,-0.00018234,0.076439848,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.08117623,0.059536917,0.003982296,-2.85E-06,0.147496336,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.108167502,0.086807731,0.006563439,-7.85E-05,0.230719561,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.099605395,0.055052615,0.010688602,-0.000179232,0.233099773,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
