ITT.est1,ITT.est0,ITT.est,ITT.se,ITT.stat,ITT.true1,ITT.true0,ITT.true,ITT.truese,ITT.cover,ITT.truecover,Asize
0.369491525,0.1125,0.256991525,0.035706347,7.197362641,0.346341463,0.110569106,0.235772358,0.028317025,1,1,235
0.35,0.131343284,0.218656716,0.034530332,6.332308596,0.346341463,0.110569106,0.235772358,0.028317025,1,1,235
0.320261438,0.113268608,0.206992829,0.033819615,6.120496285,0.346341463,0.110569106,0.235772358,0.028317025,1,1,238
0.341296928,0.096273292,0.245023636,0.034581681,7.085359306,0.346341463,0.110569106,0.235772358,0.028317025,1,1,227
0.29020979,0.124620061,0.165589729,0.03350575,4.942128718,0.346341463,0.110569106,0.235772358,0.028317025,0,0,230
0.33220339,0.128125,0.20407839,0.034478073,5.919077529,0.346341463,0.110569106,0.235772358,0.028317025,1,1,242
0.323232323,0.116352201,0.206880122,0.0330213,6.265050875,0.346341463,0.110569106,0.235772358,0.028317025,1,1,228
0.337792642,0.123417722,0.214374921,0.03620718,5.920784819,0.346341463,0.110569106,0.235772358,0.028317025,1,1,240
0.343234323,0.115384615,0.227849708,0.034759243,6.555082589,0.346341463,0.110569106,0.235772358,0.028317025,1,1,238
0.366101695,0.090625,0.275476695,0.035068804,7.855320562,0.346341463,0.110569106,0.235772358,0.028317025,1,1,225
0.367213115,0.1,0.267213115,0.032905759,8.120557711,0.346341463,0.110569106,0.235772358,0.028317025,1,1,238
0.298013245,0.150159744,0.147853501,0.035211509,4.19901062,0.346341463,0.110569106,0.235772358,0.028317025,0,0,244
0.342756184,0.105421687,0.237334497,0.034380493,6.903173225,0.346341463,0.110569106,0.235772358,0.028317025,1,1,218
0.381756757,0.112852665,0.268904092,0.035754599,7.520825248,0.346341463,0.110569106,0.235772358,0.028317025,1,1,238
0.355932203,0.115625,0.240307203,0.033292015,7.218163366,0.346341463,0.110569106,0.235772358,0.028317025,1,1,227
0.34006734,0.113207547,0.226859793,0.031968542,7.096344713,0.346341463,0.110569106,0.235772358,0.028317025,1,1,236
0.33559322,0.1125,0.22309322,0.035445745,6.293935091,0.346341463,0.110569106,0.235772358,0.028317025,1,1,236
0.352739726,0.102167183,0.250572543,0.03402608,7.364131882,0.346341463,0.110569106,0.235772358,0.028317025,1,1,231
0.314189189,0.112852665,0.201336525,0.035352988,5.695035546,0.346341463,0.110569106,0.235772358,0.028317025,1,1,234
0.341296928,0.133540373,0.207756556,0.034001893,6.110146777,0.346341463,0.110569106,0.235772358,0.028317025,1,1,229
0.364261168,0.12654321,0.237717959,0.034253317,6.939998303,0.346341463,0.110569106,0.235772358,0.028317025,1,1,241
0.368794326,0.09009009,0.278704236,0.033111447,8.41715653,0.346341463,0.110569106,0.235772358,0.028317025,1,1,221
0.358156028,0.108108108,0.25004792,0.034041247,7.345439428,0.346341463,0.110569106,0.235772358,0.028317025,1,1,224
0.306620209,0.137195122,0.169425087,0.033464177,5.062879315,0.346341463,0.110569106,0.235772358,0.028317025,0,0,235
0.355932203,0.084375,0.271557203,0.03344176,8.120302475,0.346341463,0.110569106,0.235772358,0.028317025,1,1,231
