V1.11,V1.12,V1.13,V1.14,V1.15,V1.21,V1.22,V1.23,V1.24,V1.25,V1.31,V1.32,V1.33,V1.34,V1.35,V1.41,V1.42,V1.43,V1.44,V1.45,V1.51,V1.52,V1.53,V1.54,V1.55,V2.11,V2.12,V2.13,V2.14,V2.15,V2.21,V2.22,V2.23,V2.24,V2.25,V2.31,V2.32,V2.33,V2.34,V2.35,V2.41,V2.42,V2.43,V2.44,V2.45,V2.51,V2.52,V2.53,V2.54,V2.55
0.007661947,-0.002021339,-0.000409522,5.25E-06,-0.001183755,-0.002021339,0.004798544,5.16E-05,-6.38E-07,-0.000379145,-0.000409522,5.16E-05,3.33E-05,-4.99E-07,2.84E-05,5.25E-06,-6.38E-07,-4.99E-07,8.16E-09,-7.62E-07,-0.001183755,-0.000379145,2.84E-05,-7.62E-07,0.007616797,0.006773475,-0.001747874,-0.000324311,3.71E-06,-0.000723526,-0.001747874,0.004736363,2.46E-05,-1.90E-07,-0.000442335,-0.000324311,2.46E-05,2.51E-05,-3.48E-07,-1.02E-05,3.71E-06,-1.90E-07,-3.48E-07,5.39E-09,-1.61E-07,-0.000723526,-0.000442335,-1.02E-05,-1.61E-07,0.007684533
0.0065379,-0.002666029,-0.000298135,3.56E-06,-0.001404763,-0.002666029,0.004871879,7.06E-05,-9.86E-07,0.000275999,-0.000298135,7.06E-05,2.23E-05,-3.19E-07,8.19E-05,3.56E-06,-9.86E-07,-3.19E-07,5.23E-09,-1.87E-06,-0.001404763,0.000275999,8.19E-05,-1.87E-06,0.010961117,0.00668324,-0.002622932,-0.000300383,3.53E-06,-0.001472774,-0.002622932,0.004938143,6.56E-05,-8.68E-07,8.10E-05,-0.000300383,6.56E-05,2.20E-05,-3.11E-07,8.12E-05,3.53E-06,-8.68E-07,-3.11E-07,5.06E-09,-1.77E-06,-0.001472774,8.10E-05,8.12E-05,-1.77E-06,0.009992468
0.006778653,-0.001818958,-0.000348379,4.50E-06,-0.000894481,-0.001818958,0.003944254,3.50E-05,-6.64E-07,-0.000239012,-0.000348379,3.50E-05,2.68E-05,-3.95E-07,4.28E-05,4.50E-06,-6.64E-07,-3.95E-07,6.50E-09,-1.01E-06,-0.000894481,-0.000239012,4.28E-05,-1.01E-06,0.008487646,0.006142177,-0.001547287,-0.000304142,3.81E-06,-0.001343649,-0.001547287,0.004028877,1.73E-05,-3.72E-07,-7.75E-05,-0.000304142,1.73E-05,2.31E-05,-3.35E-07,8.50E-05,3.81E-06,-3.72E-07,-3.35E-07,5.53E-09,-1.85E-06,-0.001343649,-7.75E-05,8.50E-05,-1.85E-06,0.008809782
0.00687529,-0.001698638,-0.000325124,3.62E-06,-0.000198164,-0.001698638,0.004404381,2.25E-05,-1.34E-07,-0.000323813,-0.000325124,2.25E-05,2.36E-05,-3.18E-07,-1.72E-05,3.62E-06,-1.34E-07,-3.18E-07,4.95E-09,-5.52E-07,-0.000198164,-0.000323813,-1.72E-05,-5.52E-07,0.010192953,0.0074172,-0.001703025,-0.000330679,3.51E-06,-0.000306471,-0.001703025,0.004160307,1.20E-05,4.30E-08,-0.000107868,-0.000330679,1.20E-05,2.21E-05,-2.81E-07,-5.86E-06,3.51E-06,4.30E-08,-2.81E-07,4.18E-09,-7.11E-07,-0.000306471,-0.000107868,-5.86E-06,-7.11E-07,0.009873482
0.006786277,-0.002039525,-0.000342982,4.36E-06,-0.00038025,-0.002039525,0.004943886,3.20E-05,-5.06E-07,-0.000492498,-0.000342982,3.20E-05,2.72E-05,-4.08E-07,1.98E-05,4.36E-06,-5.06E-07,-4.08E-07,6.88E-09,-8.86E-07,-0.00038025,-0.000492498,1.98E-05,-8.86E-07,0.009295235,0.007043038,-0.002127238,-0.000370387,4.94E-06,-0.000964357,-0.002127238,0.004806259,3.85E-05,-6.47E-07,-0.000329874,-0.000370387,3.85E-05,2.99E-05,-4.61E-07,6.26E-05,4.94E-06,-6.47E-07,-4.61E-07,7.87E-09,-1.57E-06,-0.000964357,-0.000329874,6.26E-05,-1.57E-06,0.009376809
0.007396729,-0.002462772,-0.000355138,4.23E-06,-0.000617637,-0.002462772,0.00449513,6.65E-05,-1.01E-06,-0.000191954,-0.000355138,6.65E-05,2.62E-05,-3.73E-07,1.99E-05,4.23E-06,-1.01E-06,-3.73E-07,6.06E-09,-7.83E-07,-0.000617637,-0.000191954,1.99E-05,-7.83E-07,0.008301204,0.007634092,-0.002674946,-0.000369973,4.51E-06,-0.000896895,-0.002674946,0.004507283,7.88E-05,-1.19E-06,-0.00010339,-0.000369973,7.88E-05,2.75E-05,-3.97E-07,3.79E-05,4.51E-06,-1.19E-06,-3.97E-07,6.49E-09,-1.02E-06,-0.000896895,-0.00010339,3.79E-05,-1.02E-06,0.008202912
0.006726584,-0.001703172,-0.000341192,4.31E-06,-0.00133924,-0.001703172,0.004922554,2.29E-05,-5.12E-07,0.000178935,-0.000341192,2.29E-05,2.69E-05,-3.96E-07,5.46E-05,4.31E-06,-5.12E-07,-3.96E-07,6.61E-09,-1.31E-06,-0.00133924,0.000178935,5.46E-05,-1.31E-06,0.008502125,0.007087945,-0.002050763,-0.000370141,4.85E-06,-0.001522326,-0.002050763,0.004806155,3.61E-05,-6.13E-07,0.000360777,-0.000370141,3.61E-05,2.98E-05,-4.52E-07,7.97E-05,4.85E-06,-6.13E-07,-4.52E-07,7.63E-09,-1.84E-06,-0.001522326,0.000360777,7.97E-05,-1.84E-06,0.008414
0.006037004,-0.001749277,-0.00029223,3.30E-06,-0.000907318,-0.001749277,0.004509738,1.79E-05,1.29E-08,-0.000384496,-0.00029223,1.79E-05,2.32E-05,-3.24E-07,5.47E-05,3.30E-06,1.29E-08,-3.24E-07,5.19E-09,-1.26E-06,-0.000907318,-0.000384496,5.47E-05,-1.26E-06,0.007124335,0.006164603,-0.001896907,-0.00028344,3.04E-06,-0.000769634,-0.001896907,0.004412085,3.15E-05,-2.44E-07,-0.000372102,-0.00028344,3.15E-05,2.06E-05,-2.69E-07,3.81E-05,3.04E-06,-2.44E-07,-2.69E-07,4.04E-09,-9.65E-07,-0.000769634,-0.000372102,3.81E-05,-9.65E-07,0.007341486
0.004731961,-0.000956659,-0.000204225,2.10E-06,-0.00046296,-0.000956659,0.004556485,-2.06E-05,3.02E-07,-0.000718628,-0.000204225,-2.06E-05,1.75E-05,-2.43E-07,5.65E-06,2.10E-06,3.02E-07,-2.43E-07,3.97E-09,-4.56E-07,-0.00046296,-0.000718628,5.65E-06,-4.56E-07,0.008084056,0.0055289,-0.001385476,-0.000223785,2.20E-06,-0.000445642,-0.001385476,0.004666439,4.00E-06,-4.14E-08,-0.00059073,-0.000223785,4.00E-06,1.65E-05,-2.12E-07,-1.21E-05,2.20E-06,-4.14E-08,-2.12E-07,3.26E-09,-1.02E-07,-0.000445642,-0.00059073,-1.21E-05,-1.02E-07,0.007988508
0.006969082,-0.002441183,-0.000369783,4.95E-06,-0.001280803,-0.002441183,0.004801969,7.28E-05,-9.45E-07,0.000372586,-0.000369783,7.28E-05,2.99E-05,-4.70E-07,6.39E-05,4.95E-06,-9.45E-07,-4.70E-07,8.17E-09,-1.57E-06,-0.001280803,0.000372586,6.39E-05,-1.57E-06,0.008702443,0.006884961,-0.002266809,-0.000383644,5.24E-06,-0.001428372,-0.002266809,0.004765068,6.53E-05,-8.55E-07,0.000365894,-0.000383644,6.53E-05,3.21E-05,-5.04E-07,7.61E-05,5.24E-06,-8.55E-07,-5.04E-07,8.65E-09,-1.77E-06,-0.001428372,0.000365894,7.61E-05,-1.77E-06,0.008687823
