Est.NT.LB,Est.NT.UB,Est.AT.LB,Est.AT.UB,Est.CO.LB,Est.CO.UB,True.NT.LB,True.NT.UB,True.AT.LB,True.AT.UB,True.CO.LB,True.CO.UB,CI.NT.LB,CI.NT.UB,CI.AT.LB,CI.AT.UB,CI.CO.LB,CI.CO.UB,Cover.NT,Cover.AT,Cover.CO
0.064159292,0.165820398,0,0.440148469,0.267156745,0.514963033,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0,0.247751537,0,0.661538022,0.154375354,0.588314707,1,1,1
0.104174049,0.252427184,0,0.342976817,0.144699953,0.392880605,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0.014471113,0.333333333,0,0.596881939,0.013280439,0.490368498,1,1,1
0.115467279,0.213740458,0,0.433982684,0.073387988,0.428140357,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0.041982038,0.288256517,0,0.638834146,0,0.530137521,1,1,1
0.082835821,0.182835821,0,0.440393519,0.227768469,0.491780903,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0,0.252546078,0,0.661552707,0.125496139,0.577605893,1,1,1
0.055239857,0.174327122,0,0.259126467,0.117121578,0.342541577,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0,0.267256773,0,0.524451302,0,0.444652763,1,1,0
0.071648587,0.201754386,0,0.38595866,0.124224769,0.417063483,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0,0.278275502,0,0.636831952,0.01152465,0.507526989,1,1,1
0.109121973,0.180002316,0,0.340517241,0.173852323,0.395826087,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0.032426626,0.2658054,0,0.576533653,0.056340883,0.491391426,1,1,1
0.08126686,0.205651073,0,0.459718479,0.107310345,0.46157164,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0,0.286958535,0,0.667088213,0.00112069,0.547643572,1,1,1
0.044509926,0.136244427,0,0.508474576,0.189064697,0.517474708,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0,0.230222356,0,0.73685054,0.062835002,0.604912019,1,1,1
0.145198171,0.227642276,0,0.409703504,0.269998369,0.514909275,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0.059415409,0.310123747,0,0.640946948,0.158318626,0.607255467,1,1,1
0.137233461,0.237288136,0,0.62745098,0.160910055,0.477307556,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0.05565086,0.314056435,0,0.732172619,0.047973456,0.571505808,1,1,1
0.029818956,0.138211382,0,0.365079365,0.04089601,0.35244663,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0,0.227430424,0,0.574570669,0,0.46326302,1,1,1
0.076596855,0.205128205,0,0.66436865,0.112737671,0.475809746,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0,0.27587203,0,0.788486842,0.009043183,0.569484057,1,1,1
0.154890756,0.23892437,0,0.580385055,0.152101425,0.508011352,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0.053186624,0.333698041,0,0.765625,0.024008069,0.609398421,1,1,1
0.154223281,0.255918196,0,0.406938776,0.167562234,0.402519191,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0.063557147,0.350046296,0,0.647557908,0.047015553,0.505119605,1,1,1
0.09158805,0.181997455,0,0.363102999,0.209434854,0.462580296,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0.018504716,0.274524945,0,0.610868622,0.070631295,0.555734845,1,1,1
0.084765625,0.2,0,0.325581395,0.197899297,0.468490988,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0.008261474,0.281361367,0,0.57777233,0.056465295,0.548409218,1,1,1
0.078015222,0.186927706,0,0.59,0.189614959,0.475022689,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0,0.272746698,0,0.723410058,0.083055147,0.558370261,1,1,1
0.104333097,0.181728638,0,0.412903226,0.116248822,0.407602147,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0.028104579,0.270747181,0,0.616812407,0.004804835,0.513132744,1,1,1
0.080511811,0.172178478,0,0.24929972,0.225393501,0.419614831,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0,0.262139836,0,0.523721309,0.099274003,0.521294185,1,1,1
0.156954887,0.264097744,0,0.458348104,0.114128862,0.418416706,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0.05196813,0.357771934,0,0.648214286,0.015718559,0.535115913,1,1,1
0.168330493,0.252252252,0,0.486086957,0.233274372,0.465653666,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0.0846426,0.336615566,0,0.700172414,0.12840696,0.564582418,1,1,1
0.140685684,0.228070175,0,0.541105121,0.156352558,0.451790448,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0.037902514,0.304795498,0,0.75,0.034033909,0.561064389,1,1,1
0.07127193,0.168669706,0,0.247741935,0.134371819,0.341052632,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0,0.254736019,0,0.470747978,0.021081543,0.446398186,1,1,0
0.136148008,0.218487395,0,0.437062937,0.254985755,0.510050726,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0.062096299,0.295652174,0,0.727595952,0.138134485,0.595184193,1,1,1
0.133823529,0.233823529,0,0.433766234,0.192577081,0.444565717,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0.036565789,0.3,0,0.686267114,0.06854128,0.564371257,1,1,1
0.123535973,0.236363636,0,0.498316498,0.146005776,0.427848042,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0.043778057,0.320861748,0,0.660009434,0.040706341,0.520598126,1,1,1
0.081676231,0.200320299,0,0.469907407,0.095842429,0.388439871,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0,0.272005367,0,0.68627451,0,0.493382027,1,1,1
0.0218034,0.127494457,0,0.534503632,0.180190123,0.518602661,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0,0.187128581,0,0.724366496,0.067923563,0.607584559,0,1,1
0.12399737,0.214968038,0,0.411965812,0.123084543,0.423411371,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0.032475884,0.312734214,0,0.63782914,0,0.555627847,1,1,1
0.106820113,0.190082645,0,0.510651629,0.142405272,0.440374722,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0.023125347,0.273018232,0,0.708831063,0.01915361,0.54520085,1,1,1
0.048352899,0.163934426,0,0.501708124,0.080696914,0.421964267,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0,0.229678968,0,0.706832755,0,0.519916408,1,1,1
0.09478022,0.214285714,0,0.537470726,0.142608139,0.487674303,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0.011801834,0.288236779,0,0.678937332,0.032684024,0.606642184,1,1,1
0.190611664,0.279279279,0,0.5,0.169378996,0.389692992,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0.089861387,0.362766542,0,0.657940424,0.083689471,0.474414645,1,1,1
0.021444753,0.142769231,0,0.357780612,0.131733772,0.434243243,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0,0.207231673,0,0.620744109,0.004169568,0.548039126,0,1,1
0.079219288,0.190330399,0,0.479329948,0.040653402,0.352044807,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0,0.27828633,0,0.648172515,0,0.46105868,1,1,1
0.085093168,0.189440994,0,0.607350097,0.205210459,0.536360428,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0.000593792,0.26052115,0,0.775391339,0.094259905,0.63520747,1,1,1
0.067194215,0.160652159,0,0.674509804,0.162207747,0.459448732,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0,0.250015293,0,0.833333333,0.067579771,0.558041323,1,1,1
0.085457271,0.197526237,0,0.632393713,0.068442623,0.483115864,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0,0.292045671,0,0.757929214,0,0.582699826,1,1,1
0.125413223,0.216666667,0,0.272093023,0.206975414,0.386700256,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0.031871605,0.296610169,0,0.565947948,0.073570992,0.500296112,1,1,1
