"Estimate_NTLB","Estimate_NTUB","Estimate_ATLB","Estimate_ATUB","Estimate_COLB","Estimate_COUB","True_NTLB","True_NTUB","True_ATLB","True_ATUB","True_COLB","True_COUB","Coverage_NT","Coverage_AT","Coverage_CO"
0.064159292,0.165820398,0,0.440148469,0.267156745,0.514963033,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.104174049,0.252427184,0,0.342976817,0.144699953,0.392880605,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.115467279,0.213740458,0,0.433982684,0.073387988,0.428140357,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.082835821,0.182835821,0,0.440393519,0.227768469,0.491780903,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.055239857,0.174327122,0,0.259126467,0.117121578,0.342541577,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,0
0.071648587,0.201754386,0,0.38595866,0.124224769,0.417063483,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.109121973,0.180002316,0,0.340517241,0.173852323,0.395826087,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.08126686,0.205651073,0,0.459718479,0.107310345,0.46157164,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.044509926,0.136244427,0,0.508474576,0.189064697,0.517474708,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.145198171,0.227642276,0,0.409703504,0.269998369,0.514909275,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.137233461,0.237288136,0,0.62745098,0.160910055,0.477307556,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.029818956,0.138211382,0,0.365079365,0.04089601,0.35244663,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.076596855,0.205128205,0,0.66436865,0.112737671,0.475809746,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.154890756,0.23892437,0,0.580385055,0.152101425,0.508011352,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.154223281,0.255918196,0,0.406938776,0.167562234,0.402519191,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.09158805,0.181997455,0,0.363102999,0.209434854,0.462580296,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.084765625,0.2,0,0.325581395,0.197899297,0.468490988,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.078015222,0.186927706,0,0.59,0.189614959,0.475022689,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.104333097,0.181728638,0,0.412903226,0.116248822,0.407602147,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.080511811,0.172178478,0,0.24929972,0.225393501,0.419614831,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.156954887,0.264097744,0,0.458348104,0.114128862,0.418416706,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.168330493,0.252252252,0,0.486086957,0.233274372,0.465653666,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.140685684,0.228070175,0,0.541105121,0.156352558,0.451790448,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.07127193,0.168669706,0,0.247741935,0.134371819,0.341052632,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,0
0.136148008,0.218487395,0,0.437062937,0.254985755,0.510050726,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.133823529,0.233823529,0,0.433766234,0.192577081,0.444565717,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.123535973,0.236363636,0,0.498316498,0.146005776,0.427848042,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.081676231,0.200320299,0,0.469907407,0.095842429,0.388439871,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.0218034,0.127494457,0,0.534503632,0.180190123,0.518602661,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0,1,1
0.12399737,0.214968038,0,0.411965812,0.123084543,0.423411371,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.106820113,0.190082645,0,0.510651629,0.142405272,0.440374722,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.048352899,0.163934426,0,0.501708124,0.080696914,0.421964267,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.09478022,0.214285714,0,0.537470726,0.142608139,0.487674303,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.190611664,0.279279279,0,0.5,0.169378996,0.389692992,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.021444753,0.142769231,0,0.357780612,0.131733772,0.434243243,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0,1,1
0.079219288,0.190330399,0,0.479329948,0.040653402,0.352044807,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.085093168,0.189440994,0,0.607350097,0.205210459,0.536360428,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.067194215,0.160652159,0,0.674509804,0.162207747,0.459448732,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.085457271,0.197526237,0,0.632393713,0.068442623,0.483115864,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.125413223,0.216666667,0,0.272093023,0.206975414,0.386700256,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.178409091,0.245454545,0,0.621552975,0.158545145,0.435785608,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.082891481,0.172322375,0,0.288135593,0.201616705,0.437379525,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.09738885,0.220183486,0,0.677966102,0.124415678,0.506772144,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.08004827,0.172667702,0,0.540350877,0.205682374,0.507589782,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.162929452,0.243902439,0,0.394607843,0.107474804,0.335029922,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,0
0.141681603,0.236842105,0,0.450355707,0.119002675,0.409455169,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.143479675,0.232,0,0.467654987,0.096417648,0.382172131,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.083712121,0.175,0,0.483552632,0.127822842,0.422999227,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.105856921,0.201754386,0,0.642857143,0.187663055,0.440042814,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.128249431,0.243697479,0,0.484745763,0.024816503,0.354940895,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.117291256,0.239316239,0,0.561461794,0.096082543,0.440165062,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.103768002,0.189189189,0,0.51457976,0.216827176,0.475139257,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.061888587,0.166236413,0,0.493281075,0.161401103,0.458722617,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.093098958,0.198717949,0,0.438867925,0.170631259,0.441099963,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.132835821,0.24,0,0.408885116,0.129226082,0.428237472,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.108324043,0.202341137,0,0.468085106,0.13483131,0.424823211,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.06626878,0.128215682,0,0.522408964,0.211090567,0.445290038,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,0,1,1
0.083819629,0.187152392,0,0.404761905,0.21002286,0.469734557,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.151677419,0.223677419,0,0.594339623,0.152455071,0.465535379,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.148136598,0.254545227,0,0.4,0.162138347,0.450955911,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.10892173,0.177887247,0,0.396119103,0.188291754,0.43537153,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.04799311,0.172907563,0,0.34085213,0.19116527,0.457624533,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.104895105,0.212333121,0,0.395138496,0.164476213,0.444302634,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.08802297,0.193206522,0,0.458164642,0.178356614,0.461718807,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.133803886,0.229508197,0,0.336784584,0.152512818,0.416295095,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.108587525,0.204918033,0,0.381481481,0.143045278,0.375057915,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.148467433,0.24137931,0,0.422787194,0.197191234,0.469150793,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.137680672,0.221714286,0,0.492224476,0.19844194,0.454489752,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.151636693,0.253331608,0,0.516666667,0.147597699,0.480471615,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.085745735,0.215652174,0,0.379352851,0.156557202,0.438337901,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.053626007,0.194915254,0,0.475490196,0.117773019,0.415815401,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.150904605,0.229851974,0,0.305642633,0.23135929,0.420696908,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.078431373,0.186764706,0,0.448148148,0.119760349,0.400130719,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.072623419,0.177886577,0,0.38676017,0.251892507,0.504663315,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.080775333,0.190867076,0,0.405244755,0.229803654,0.462397546,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.166755532,0.249333511,0,0.437110184,0.108393379,0.378136427,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.101309707,0.220338983,0,0.499674691,0.10853949,0.438516202,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.139688845,0.218245614,0,0.45758851,0.134715402,0.465190889,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.133961567,0.227642276,0,0.388552189,0.141266124,0.395561667,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.106481481,0.194444444,0,0.425908521,0.268139833,0.506581288,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
0.185470085,0.275862069,0,0.592442645,0.116720052,0.445826033,0.110204082,0.216326531,0,0.462962963,0.160305344,0.450381679,1,1,1
