Est.NT.LB,Est.NT.UB,Est.AT.LB,Est.AT.UB,Est.CO.LB,Est.CO.UB,True.NT.LB,True.NT.UB,True.AT.LB,True.AT.UB,True.CO.LB,True.CO.UB,CI.NT.LB,CI.NT.UB,CI.AT.LB,CI.AT.UB,CI.CO.LB,CI.CO.UB,Cover.NT,Cover.AT,Cover.CO
0.083109665,0.173407445,0,0.374048328,0.284974561,0.512371477,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.0342946,0.250539543,0,0.633048361,0.165424541,0.588882909,1,1,1
0.113292404,0.252427184,0,0.269731801,0.172327385,0.385573002,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.015100317,0.333333333,0,0.530612245,0.058799098,0.473882244,1,1,1
0.116110033,0.213740458,0,0.202741703,0.201498562,0.428140357,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.055521441,0.288506827,0,0.54545884,0.021150851,0.513131843,1,1,1
0.085801845,0.180769231,0.073440285,0.413507625,0.240436247,0.480295475,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.023980584,0.25,0,0.672784091,0.117512316,0.571367911,1,1,1
0.098586978,0.183022774,0,0.225181598,0.123311389,0.342541577,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.039413013,0.266860346,0,0.587466446,0,0.436614752,1,1,0
0.116335415,0.196695729,0,0.465496871,0.084874034,0.409531333,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.04606177,0.27877567,0,0.648124079,0.029057658,0.491624871,1,1,1
0.111860249,0.185835016,0,0.158749269,0.247547172,0.410816094,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.04732292,0.263588418,0,0.512811424,0.102595713,0.520190182,1,1,1
0.092752651,0.20637229,0.023809524,0.341269841,0.15825409,0.449481062,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.031395569,0.286823294,0,0.63852744,0,0.546013672,1,1,1
0.085472698,0.136244427,0.089934279,0.411968177,0.234500553,0.479582969,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.048580956,0.229156719,0,0.687490032,0.073122684,0.576450442,1,1,1
0.145198171,0.226318721,0.010321797,0.392921378,0.276657131,0.510813823,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.060567883,0.312305845,0,0.638916667,0.171818118,0.593749359,1,1,1
0.13938344,0.237288136,0.003921569,0.376470588,0.252952965,0.475869386,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.076694554,0.314335781,0,0.660020979,0.134623028,0.540915832,1,1,1
0.053624276,0.113821138,0,0.158456358,0.178132859,0.35244663,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.008422342,0.2145335,0,0.497961774,0,0.460981865,0,1,1
0.093602879,0.201875168,0.042067308,0.368990385,0.220342051,0.464055451,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.043289319,0.282823728,0,0.666666667,0.10471961,0.540999023,1,1,1
0.154890756,0.247327731,0.04828614,0.376154993,0.239808823,0.485310945,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.056820176,0.336167441,0,0.637722737,0.120465106,0.583556314,1,1,1
0.153112092,0.254807008,0,0.356140351,0.186450638,0.403520826,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.061536152,0.349080189,0,0.574438883,0.081691741,0.503638127,1,1,1
0.095566223,0.192039801,0,0.259079903,0.246572867,0.462580296,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.037365505,0.272569957,0,0.617071935,0.086612424,0.547361683,1,1,1
0.10062518,0.198976935,0.018835019,0.3958842,0.164611599,0.452112918,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.044458662,0.280787184,0,0.639398392,0.042069321,0.539638251,1,1,1
0.079382661,0.187490769,0.074468085,0.454468085,0.234267136,0.449117922,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0,0.274201455,0,0.652200315,0.138034041,0.527304054,1,1,1
0.109342111,0.181141439,0,0.182580645,0.232639096,0.407602147,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.048468144,0.270908035,0,0.482816227,0.05217646,0.511257426,1,1,1
0.081770833,0.165104167,0,0.104112554,0.292969011,0.418376889,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0,0.256069889,0,0.509183717,0.121358667,0.521295289,1,1,1
0.161934738,0.260149024,0,0.267091115,0.204081052,0.413893784,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.047954148,0.352293845,0,0.628898437,0.046767874,0.527254339,1,1,1
0.177995,0.252252252,0,0.308085106,0.291856313,0.465653666,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.102708062,0.336615566,0,0.600982969,0.170868883,0.55652826,1,1,1
0.134085213,0.225167767,0.005102041,0.326530612,0.24074588,0.456024251,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.036549278,0.30861637,0,0.611179078,0.097394815,0.52927922,1,1,1
0.086410343,0.156287666,0,0.080645161,0.22259542,0.348120301,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.028842985,0.250192823,0,0.367969358,0.038160565,0.459951601,1,1,1
0.144551369,0.213850269,0.036020583,0.436020583,0.255407558,0.487493451,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.062065161,0.291855436,0,0.671300424,0.145006461,0.568330458,1,1,1
0.137148463,0.209875736,0,0.328896104,0.253302812,0.441708352,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.038766267,0.298049877,0,0.647114077,0.107194554,0.54038721,1,1,1
0.131207598,0.229432213,0,0.321212121,0.212306774,0.421368744,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.047373884,0.317687643,0,0.550037001,0.111876331,0.513241098,1,1,1
0.093164075,0.199757869,0,0.37037037,0.135503741,0.388950757,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.033020003,0.268947169,0,0.612333148,0.002861837,0.469985808,1,1,1
0.02293411,0.128001824,0.049285714,0.352857143,0.256700163,0.496349699,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0,0.196521873,0,0.672234848,0.11680108,0.566850744,0,1,1
0.12399737,0.217178086,0,0.353479853,0.150333326,0.423411371,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.032475884,0.311926606,0,0.614542607,0.014556461,0.524413889,1,1,1
0.109215682,0.190082645,0.061335404,0.418478261,0.181247893,0.414527475,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.034472243,0.271819461,0,0.624169897,0.064688853,0.49913331,1,1,1
0.096389378,0.16136904,0,0.248941319,0.196725667,0.421964267,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.037728152,0.228094308,0,0.571810966,0.031191983,0.501888545,1,1,1
0.09478022,0.213161376,0,0.281030445,0.25658609,0.487674303,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.010764682,0.284513547,0,0.622956759,0.098258674,0.586252376,1,1,1
0.197564752,0.278645833,0,0.224875267,0.25165266,0.384068536,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.09632396,0.362631277,0,0.500094697,0.141169612,0.474233757,1,1,1
0.057635785,0.140605296,0.025396825,0.30094246,0.161828595,0.421811154,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.010816002,0.207265122,0,0.57973352,0.017651438,0.53412245,0,1,1
0.080316742,0.191427853,0,0.243947175,0.138135195,0.35096806,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0,0.277168623,0,0.5,0.017250149,0.449473617,1,1,0
0.092584199,0.198136646,0.035250464,0.417068646,0.271955865,0.522555298,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.044423166,0.262328614,0,0.665008503,0.182941883,0.606456112,1,1,1
0.067392261,0.160652159,0.099149094,0.393266741,0.254163121,0.427030894,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.016909829,0.245744592,0,0.698120695,0.136931381,0.512132565,1,1,1
0.092145594,0.18697318,0.094284674,0.422642883,0.158786635,0.426970902,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0,0.284351852,0,0.683419105,0,0.539532382,1,1,1
0.118089431,0.216666667,0,0.12,0.261908168,0.393237298,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.033219335,0.294166298,0,0.538690476,0.102487278,0.496649945,1,1,1
0.189171385,0.245454545,0,0.392208246,0.240854449,0.435785608,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.102090917,0.336208804,0,0.67572496,0.119302585,0.507149953,1,1,1
0.089072214,0.178503109,0,0.1479679,0.260079053,0.421601504,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.016683199,0.264000877,0,0.489815171,0.070157857,0.520964394,1,1,1
0.103123704,0.2186931,0.093333333,0.421299435,0.229691158,0.465306644,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.032580641,0.299775814,0,0.670394904,0.107252384,0.556191857,1,1,1
0.094455591,0.172667702,0.097368421,0.360526316,0.277785299,0.468548686,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.034142481,0.256458333,0,0.651701903,0.144257452,0.554573868,1,1,1
0.162601626,0.243902439,0,0.087481146,0.223240589,0.341414238,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.062414893,0.328411106,0,0.393792737,0.069183797,0.451793948,1,1,1
0.174584733,0.229445761,0,0.25225828,0.207922371,0.409455169,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.107790871,0.315394345,0,0.550096154,0.050599838,0.508364485,1,1,1
0.143741935,0.227398267,0,0.313861985,0.163994027,0.391620899,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.065370929,0.307119115,0,0.602990289,0.045791575,0.47515397,1,1,1
0.130620105,0.175619835,0,0.322874494,0.197374121,0.415095666,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.061828747,0.269189598,0,0.607157834,0.059916019,0.488542174,1,1,1
0.104426774,0.201754386,0.076190476,0.528571429,0.218651338,0.421541082,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.050599117,0.275268267,0,0.714167925,0.12825927,0.502523146,1,1,1
0.147983614,0.239609465,0,0.259987893,0.125222128,0.354940895,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.084471615,0.325874362,0,0.566166103,0,0.442759572,1,1,0
0.121046303,0.234907377,0,0.392857143,0.164561711,0.440165062,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.05043013,0.328166457,0,0.61539548,0.046431639,0.509954901,1,1,1
0.102902903,0.189189189,0.069758673,0.355367256,0.27348813,0.451074764,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.015270208,0.256104558,0,0.611217949,0.166747606,0.546062046,1,1,1
0.071250421,0.158206943,0,0.246411483,0.27052937,0.450318797,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0,0.241678037,0,0.579944908,0.125059257,0.558950468,1,1,1
0.133068114,0.198717949,0.030267296,0.313286164,0.219274163,0.429376213,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.073227752,0.273296063,0,0.555988456,0.102283063,0.506063248,1,1,1
0.140298507,0.24,0,0.233652313,0.20736643,0.420112118,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.045104108,0.320717166,0,0.576790353,0.054191174,0.511085358,1,1,1
0.129940235,0.198316304,0,0.299233716,0.210907231,0.404188754,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.02793753,0.292073576,0,0.581824388,0.06957244,0.504405153,1,1,1
0.061326261,0.121238938,0,0.240196078,0.314599055,0.451350589,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.016711487,0.207844251,0,0.472133301,0.19507094,0.536920835,0,1,1
0.100559368,0.188560482,0,0.319285714,0.243142392,0.469734557,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.050909654,0.271791062,0,0.57652838,0.110468573,0.544747456,1,1,1
0.166333333,0.214333333,0.015898251,0.304466509,0.279419563,0.444450456,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.076116808,0.305070421,0,0.641900115,0.139138517,0.540170761,1,1,1
0.148136598,0.25364139,0,0.279488066,0.215412423,0.450955911,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.062815964,0.336186283,0,0.571695096,0.091343017,0.55116399,1,1,1
0.101547651,0.179133858,0,0.238276782,0.259025441,0.442487177,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.008744127,0.268887829,0,0.496574627,0.120696094,0.545199317,1,1,1
0.102635058,0.166754202,0,0.18176589,0.264719922,0.456539083,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.049538137,0.247527478,0,0.500502931,0.105980449,0.545819331,1,1,1
0.141101958,0.215485707,0,0.253118122,0.225432288,0.441312249,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.091349503,0.292725408,0,0.547041509,0.094750204,0.540296915,1,1,1
0.124031542,0.192477571,0.001277139,0.322208779,0.235216813,0.461190791,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.060561627,0.290914779,0,0.597089552,0.10810972,0.535863694,1,1,1
0.133803886,0.226193407,0,0.243406985,0.1973053,0.416295095,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.051369267,0.316956301,0,0.571487119,0.069377072,0.513523763,1,1,1
0.108587525,0.202519131,0,0.18,0.203626621,0.375057915,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.025797199,0.278971489,0,0.538818182,0.061514535,0.479605569,1,1,1
0.154926677,0.239616164,0,0.27936879,0.259480338,0.469150793,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.082172039,0.321276938,0,0.571169097,0.140452015,0.565504393,1,1,1
0.145043383,0.220673635,0,0.429233512,0.222480548,0.447873637,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.056638308,0.304616076,0,0.64446209,0.107054617,0.527351183,1,1,1
0.153055984,0.237801746,0,0.619716245,0.109182947,0.479116587,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.050991476,0.332982614,0,0.740958958,0.089374608,0.559193472,1,1,1
0.105229083,0.203344482,0,0.311989956,0.196939652,0.438337901,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.043258732,0.289473684,0,0.587181188,0.063288665,0.524189675,1,1,1
0.059708498,0.194915254,0,0.345039508,0.165260422,0.415815401,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.015509076,0.267868424,0,0.614069663,0.050587438,0.497993353,1,1,1
0.145933014,0.216108453,0,0.23923445,0.269418391,0.42518638,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.067082682,0.324333732,0,0.48746428,0.143229059,0.515237656,1,1,1
0.091666667,0.191666667,0,0.318347953,0.167105263,0.387777778,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0,0.266686145,0,0.59344006,0.039267049,0.475887145,1,1,1
0.079341516,0.162782911,0,0.220810647,0.333109202,0.509015971,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.032279061,0.244695905,0,0.592777778,0.202677997,0.58708746,1,1,1
0.091063541,0.191980972,0,0.283566434,0.270273798,0.453555076,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0,0.284424764,0,0.594620181,0.131372205,0.565356327,1,1,1
0.175011287,0.233520661,0,0.122807018,0.261143361,0.385213466,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.108555081,0.328003125,0,0.393367559,0.11634501,0.470606968,1,1,1
0.099724084,0.220338983,0,0.29928432,0.195275621,0.440030827,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.015653578,0.302566679,0,0.58064944,0.06981681,0.540955807,1,1,1
0.142586386,0.211779449,0.010111223,0.261871058,0.24976666,0.459570839,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.073118254,0.317550068,0,0.506699094,0.111419019,0.551572785,1,1,1
0.133145716,0.227529936,0,0.231225296,0.207933083,0.396342392,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.052562732,0.310867133,0,0.623002049,0.063305427,0.474582935,1,1,1
0.11594354,0.194444444,0.026315789,0.324561404,0.307186055,0.496442547,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.042878041,0.265064045,0,0.615416667,0.181033575,0.582597531,1,1,1
0.205590387,0.272916009,0,0.218358396,0.272168629,0.427368957,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.089663266,0.361168125,0,0.52548258,0.128828931,0.550584619,1,1,1
0.108088528,0.197870631,0,0.371698113,0.212816403,0.475110777,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.04409771,0.284304051,0,0.625710414,0.08502004,0.558746977,1,1,1
0.118789031,0.196375238,0,0.166220636,0.303460275,0.4474444,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.043629971,0.278221049,0,0.58200487,0.120024032,0.557898991,1,1,1
0.207814408,0.263369963,0,0.313596491,0.241381606,0.437562735,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.115566627,0.343762807,0,0.563097711,0.123592355,0.525736371,0,1,1
0.160456731,0.203191774,0.011250402,0.344583735,0.349329587,0.50735327,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.064502073,0.293149572,0,0.570258545,0.25567525,0.582618034,1,1,0
0.087092732,0.163398235,0,0.244228839,0.282163258,0.480960594,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.022578876,0.241821329,0,0.522523396,0.138040168,0.57348521,1,1,1
0.123850097,0.214978448,0,0.413793103,0.213422036,0.485586558,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.062993792,0.308131659,0,0.666129441,0.106878913,0.550054793,1,1,1
0.127892619,0.211233211,0,0.45923913,0.263468828,0.496091569,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.067679506,0.287068318,0,0.677045455,0.172113314,0.572955675,1,1,1
0.135485051,0.229475703,0,0.258003766,0.206153648,0.414009528,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.063604024,0.310723028,0,0.576012849,0.034851587,0.495830872,1,1,1
0.092529951,0.203473961,0.107249255,0.475670308,0.25188467,0.495379972,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.010760977,0.285153306,0,0.68260582,0.147729086,0.585063341,1,1,1
0.101871242,0.199216375,0.009803922,0.460784314,0.277537089,0.516535625,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.01970423,0.288169045,0,0.672316965,0.185162677,0.59150271,1,1,1
0.139324065,0.197562489,0.033882784,0.283882784,0.264217585,0.452470597,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.077570805,0.278536146,0,0.652215719,0.105162468,0.55023933,1,1,1
0.075950305,0.141136423,0.047619048,0.301587302,0.283446651,0.502203785,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.021066423,0.231519687,0,0.684995719,0.101159387,0.598899533,1,1,1
0.104847875,0.175748424,0,0.199824664,0.209105612,0.390844242,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.037842964,0.258934106,0,0.494642857,0.06116005,0.496402882,1,1,1
0.125932306,0.212873341,0,0.640215908,0.136904675,0.472347705,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.060162275,0.288382251,0,0.767280312,0.071068626,0.559155622,1,1,1
0.113310709,0.211187497,0,0.234365868,0.251782215,0.445997945,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.021802268,0.300814959,0,0.502694581,0.129449509,0.540578275,1,1,1
0.071871879,0.141873859,0.127949485,0.480890661,0.286256038,0.467982323,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0.025825773,0.233247882,0,0.718844742,0.167233529,0.53913477,1,1,1
